====== Drop ======
>[[start]]

===== Yikes =====

^	Key	^	Id	^	Name	^	ShardId	^	%	^	Rare	^	#	^	%	^	Common	^	#	^	%	^	RareIng	^	#	^	%	^	CommonIng	^	#	^	%	^
|	N3077_Shard	|	660	|	Gamigin	|	KickMastery	^	4	|	UnicornRing	^	1	^	2	|	Felt	^	1	^	10	|	Gamiginhair	^	1	^	5	|	Gamiginhoof	^	1	^	8	|
|	N3093_Shard	|	661	|	Titania	|	MNDEnhance	^	4	|	ribbon	^	1	^	4	|		^		^		|	Tytaniawing	^	1	^	5	|	FairyPowder	^	1	^	8	|
|	N3110_Shard	|	662	|	Axe Outsider	|	ThrowAxe	^	4	|	Valdish	^	1	^	4	|	Platinum	^	1	^	5	|	Mithril	^	1	^	10	|	DamascusSteel	^	1	^	12	|
|	N3121_Shard	|	663	|	Eight Bit Zombie	|	Zombie8Bit	^	4	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N3122_Shard	|	664	|	Eight Bit Ghost	|	Ghost8Bit	^	4	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N2015_Shard	|	665	|	Eight Bit Overlord	|	Nightmare8Bit	^	4	|	Medal022	^	1	^	8	|		^		^		|		^		^		|		^		^		|
|	N3124_Shard	|	666	|	Eight Bit Skull	|	EightBitFire	^	4	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N3102_Shard	|	669	|	Light Elemental	|	ResistHorley	^	4	|		^		^		|		^		^		|	Diamond	^	1	^	0.5	|	Obsidian	^	1	^	10	|
|	N3009_Shard	|	670	|	Ocypete	|	optimizer	^	4	|	G-LabolasFilet	^	1	^	5	|	Apple	^	1	^	8	|	WindFeathers	^	1	^	5	|	MonsterBirdTears	^	1	^	15	|
|	N3087_Shard	|	671	|	Cyhyraeth	|	Deadhowling	^	4	|	Cursering	^	1	^	4	|		^		^		|	Cyhyraethtear	^	1	^	5	|	Lerajecloth	^	1	^	8	|
|	N3098_Shard	|	674	|	Scylla	|	Resistedge	^	4	|		^		^		|	Clam	^	1	^	8	|		^		^		|	Misteriousfluid	^	1	^	10	|
|	N3078_Shard	|	675	|	Forneus	|	VaIsha	^	4	|	ForneusFilet	^	1	^	8	|		^		^		|		^		^		|		^		^		|
|	N3022_Shard	|	676	|	Deeseama	|	Aquastream	^	10	|		^		^		|	DeeseamaFilet	^	1	^	8	|	Decimaleather	^	1	^	4	|	Misteriousfluid	^	1	^	8	|
|	N3044_Shard	|	677	|	Water Leaper	|	SamonSamHiggin	^	4	|		^		^		|		^		^		|	Toadwing	^	1	^	5	|	ToadHeart	^	1	^	10	|
|	N3076_Shard	|	678	|	Glashtyn	|	Submariner	^	5	|	Aimur	^	1	^	4	|		^		^		|	Glashtynhair	^	1	^	5	|	Glashtynhoof	^	1	^	10	|
|	N3089_Shard	|	679	|	Seeker	|	Detectiveeye	^	4	|		^		^		|		^		^		|		^		^		|	SeekerEye	^	1	^	10	|
|	N3056_Shard	|	680	|	Archdemon	|	Wisdomwords	^	5	|	EligosHeart	^	1	^	4	|	Gusionfang	^	1	^	10	|	DevilRoyalTail	^	1	^	12	|		^		^		|
|	N3014_Shard	|	683	|	Amy	|	CurseDray	^	5	|		^		^		|		^		^		|	Ectoplasm	^	1	^	10	|	Alkhahest	^	2	^	12	|
|	N3002_Shard	|	684	|	Allocer	|	CONEnhance	^	4	|	Silk	^	1	^	5	|	Felt	^	1	^	10	|		^		^		|		^		^		|
|	N3112_Shard	|	685	|	Vul'sha	|	TissLeif	^	4	|	Ambrosia	^	1	^	6	|	FireWhip	^	1	^	10	|		^		^		|		^		^		|
|	N3115_Shard	|	686	|	Rocky	|	ResistBrow	^	5	|	Silk	^	1	^	5	|	Gusionfang	^	1	^	8	|		^		^		|		^		^		|
|	N2010_Shard	|	687	|	Living Fossil	|	Resistthrust	^	5	|	Clystal	^	1	^	8	|		^		^		|	Dragonbone	^	1	^	5	|		^		^		|
|	N3101_Shard	|	690	|	Dark Elemental	|	Resistdark	^	4	|	DarkMatter	^	1	^	1	|	Diamond	^	1	^	4	|		^		^		|		^		^		|
|	N3059_Shard	|	691	|	Lamashtu	|	WhipMastery	^	4	|	BeastKiller	^	1	^	4	|	Lamastutear	^	1	^	6	|	Lamastutail	^	1	^	10	|		^		^		|
|	N3113_Shard	|	692	|	Macaron	|	Toxicstorm	^	5	|	Silverwolffur	^	1	^	4	|	CatEars	^	1	^	8	|		^		^		|		^		^		|
|	N3083_Shard	|	695	|	Blood Bug	|	RedDowther	^	4	|	PoisonKukri	^	1	^	4	|		^		^		|	Dethtrapshell	^	1	^	5	|	Mimicshell	^	1	^	10	|
|	N3032_Shard	|	696	|	Fire Elemental	|	ResistFire	^	4	|	Bixbite	^	1	^	4	|	Ruby	^	1	^	12	|		^		^		|		^		^		|
|	N3119_Shard	|	697	|	Volcano Morte	|	FireThrower	^	4	|	ShiningBreast	^	1	^	4	|	Knightbone	^	1	^	10	|		^		^		|		^		^		|
|	N3123_Shard	|	698	|	Hellhound	|	HellHound	^	4	|	Apenail	^	1	^	5	|		^		^		|		^		^		|		^		^		|
|	N3086_Shard	|	699	|	Zepar	|	RapidSpear	^	4	|	Aradovar	^	1	^	4	|	Platinum	^	1	^	10	|		^		^		|		^		^		|
|	N3071_Shard	|	700	|	Deathtrap	|	LUKEnhance	^	4	|	CypressLumber	^	1	^	4	|	MahoganyLumber	^	1	^	8	|		^		^		|		^		^		|
|	N3035_Shard	|	703	|	Gusion	|	LuckyDrop	^	4	|	Silverwolffur	^	1	^	6	|	RedBean	^	1	^	8	|		^		^		|		^		^		|
|	N3054_Shard	|	704	|	Gaap	|	STREnhance	^	4	|	Gaaphorn	^	1	^	5	|	Gaapwing	^	1	^	10	|		^		^		|		^		^		|
|	N3074_Shard	|	705	|	Haagenti	|	PetraBless	^	5	|	Haagentifeather	^	1	^	6	|	Rennet	^	1	^	12	|	HaagentiFilet	^	1	^	1	|		^		^		|
|	N3020_Shard	|	706	|	Ninja	|	HiddenDart	^	4	|	Hihiirokane	^	1	^	4	|	Ashinbacostume	^	1	^	6	|	Ninjacloth	^	1	^	10	|		^		^		|
|	N3117_Shard	|	707	|	Kamikaze	|	Tornadoslicer	^	5	|	Tadanako	^	1	^	4	|	Silk	^	1	^	8	|		^		^		|		^		^		|
|	N3067_Shard	|	710	|	Giant Moco	|	EntangleBind	^	5	|	CerberaLeaf	^	1	^	8	|	MocoOnion	^	4	^	10	|	MocoOil	^	4	^	12	|		^		^		|
|	N3030_Shard	|	711	|	Giant Bat	|	SummonButt	^	5	|	Gaapwing	^	1	^	10	|	Gusionfang	^	1	^	12	|		^		^		|		^		^		|
|	N3045_Shard	|	712	|	Giant Toad	|	Releasetoade	^	5	|	EligosHeart	^	1	^	10	|	SeekerEye	^	1	^	12	|		^		^		|		^		^		|
|	N3016_Shard	|	713	|	Giant Cannon	|	FireCannon	^	5	|	CypressLumber	^	1	^	5	|	Gunpowder	^	5	^	10	|		^		^		|		^		^		|
|	N3023_Shard	|	714	|	Giant Morte	|		^		|		^		^		|		^		^		|		^		^		|		^		^		|
|	N3028_Shard	|	715	|	Giant Buer	|	FamiliaBuell	^	5	|	Leather	^	1	^	5	|		^		^		|		^		^		|		^		^		|
|	N2003_Shard	|	716	|	Silver Wolfman	|	WildScratch	^	5	|		^		^		|	Gusionfur	^	1	^	5	|	Marbasfang	^	1	^	8	|		^		^		|
|	N2008_Shard	|	717	|	Abyssal Guardian	|	Voidlay	^	6	|		^		^		|	AbyssguardianHeart	^	1	^	5	|	Abyssguardianbastard	^	1	^	8	|	DragonsEgg	^	2	^	10	|
|	N3081_Shard	|	718	|	Marbas	|	drain	^	5	|		^		^		|	Marbasmane	^	1	^	5	|	Marbasfang	^	1	^	8	|		^		^		|
|	N3021_Shard	|	719	|	Harrier	|	Accelerator	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N3038_Shard	|	720	|	Chariot Buer	|	GunMastery	^	4	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N3031_Shard	|	723	|	Ice Elemental	|	Resistice	^	4	|	Alexandrite	^	1	^	2	|	Diamond	^	1	^	6	|	Sapphire	^	1	^	12	|		^		^		|
|	N3088_Shard	|	724	|	Tracer	|	SummonTracer	^	4	|		^		^		|	DevilRoyalEyeball	^	1	^	5	|		^		^		|		^		^		|
|	N3018_Shard	|	725	|	Gusion Cannon	|	GunMastery	^	4	|	CypressLumber	^	1	^	2	|		^		^		|		^		^		|		^		^		|
|	N3120_Shard	|	726	|	G Axe Outsider	|	AxStrike	^	4	|	Orichalcum	^	1	^	2	|	Warriorskull	^	1	^	5	|		^		^		|		^		^		|
|	N3057_Shard	|	727	|	Demon Lord	|	FoldShiu	^	5	|	MurmurHeart	^	1	^	2	|		^		^		|		^		^		|		^		^		|
|	N3106_Shard	|	731	|	Master Carpenter	|	Chiselbalage	^	15	|	Bloodybone	^	1	^	12	|		^		^		|		^		^		|		^		^		|
|	N3106_1ST_Treasure	|	733	|	Master Carpenter	|		^		|	Bloodybone	^	1	^	100	|		^		^		|		^		^		|		^		^		|
|	N3106_2ND_Treasure	|	734	|	Master Carpenter	|		^		|		^		^		|	Garlic	^	1	^	100	|		^		^		|		^		^		|
|	N3107_Shard	|	735	|	Revenant	|	RuinBeak	^	100	|	Bloodyskull	^	1	^	100	|		^		^		|		^		^		|		^		^		|
|	N3107_Shard_Second	|	736	|	Revenant	|	RuinBeak	^	12	|	Bloodyskull	^	1	^	12	|		^		^		|		^		^		|		^		^		|
|	N3108_Shard	|	737	|	Millionaire's Bane	|	Jackpot	^	12	|	Gieremundfang	^	1	^	12	|		^		^		|		^		^		|		^		^		|
|	N3108_Shard_ThreeSeven	|	738	|	Millionaire's Bane	|	Jackpot	^	100	|	Gieremundfang	^	1	^	100	|		^		^		|		^		^		|		^		^		|
