====== Items ======
>[[start]]
===== Here goes nothing! =====

^	-Type-	^	-Index-	^	-Name-	^	-ID-	^	-Effect-	^	-Description-	^
|	Food	|	467	|	Miso Cutlet	|	MisoCutlet	|	375	|	A pork cutlet topped with miso. Popular in some parts of Nippon.	|
|	Food	|	468	|	Steak	|	Steak	|	495	|	A slice of meat cooked on a hot surface. You'll savor every bite.	|
|	Food	|	469	|	Exquisite Steak	|	ExquisiteSteak	|	700	|	Steak made with the choicest meat. Meals like this can change your life.	|
|	Food	|	470	|	Meat Hot Pot	|	MeatHotPot	|	495	|	An invigorating hot pot brimming with slices of meat.	|
|	Food	|	471	|	Curry & Rice	|	Curry&Rice	|	200	|	Curry sauce over rice. Delicious, but imagine it with meat or vegetables...	|
|	Food	|	472	|	Pork Curry	|	PorkCurry	|	237	|	A curry and rice plate with large chunks of pork. Tasty and filling.	|
|	Food	|	473	|	Chicken Curry	|	ChickenCurry	|	287	|	Curry and rice made with chicken that has soaked up the flavor.	|
|	Food	|	474	|	Seafood Curry	|	SeafoodCurry	|	337	|	Curry and rice with seafood that will make waves in your mouth.	|
|	Food	|	475	|	Beef Curry	|	BeefCurry	|	337	|	An extravagant curry and rice plate loaded with beef. Seconds, please!	|
|	Food	|	476	|	Apple Pie	|	ApplePie	|	370	|	A pie with an apple slice filling that gives it a subtle sweetness.	|
|	Food	|	477	|	Lemon Cream Pie	|	LemonPie	|	370	|	A summer treat made with a lemon juice filling and topped with cream.	|
|	Food	|	478	|	Strawberry Pie	|	StrawberryPie	|	395	|	A pie encrusted with strawberries. It's as pretty as jewelry.	|
|	Food	|	479	|	Manju	|	Manju	|	25	|	An Eastern afternoon treat made of bean paste wrapped in dough.	|
|	Food	|	480	|	Cookies	|	Cookies	|	30	|	A classic baked sweet that can be made in all shapes and sizes.	|
|	Food	|	481	|	Chocolate Cookies	|	ChocolateCookies	|	37	|	A cookie made with bitter chocolate for a more sophisticated flavor.	|
|	Food	|	482	|	Cinnamon Cookies	|	CinnamonCookies	|	50	|	A fragrant cookie that pairs well with black tea.	|
|	Food	|	483	|	Flan	|	Flan	|	45	|	A steamed egg-and-milk custard. Every bite is bliss.	|
|	Food	|	484	|	Sponge Cake	|	SpongeCake	|	70	|	A fluffy cake that rises in the oven and tastes great all on its own.	|
|	Food	|	485	|	Chiffon Cake	|	ChiffonCake	|	120	|	A silky sponge cake that's nothing short of a culinary miracle.	|
|	Food	|	486	|	Cheesecake	|	CheeseCake	|	145	|	A moist and mildly sweet cake made with an ample helping of cheese.	|
|	Food	|	487	|	Chocolate Crepe	|	ChocolateCrepe	|	145	|	A simple crepe that gets a subtle bitter note from the chocolate.	|
|	Food	|	488	|	Chocolate Cake	|	ChocolateCake	|	145	|	A luxurious chocolate cake. Also, a cavity waiting to happen.	|
|	Food	|	489	|	Strawberry Cake	|	StrawberryCake	|	170	|	A cake containing strawberries (which discerning eaters save for last).	|
|	Food	|	490	|	Strawberry Crepe	|	StrawberryCrepe	|	195	|	Cream and strawberries wrapped in a crepe for a delightful combination.	|
|	Food	|	491	|	Berry Spaghetti	|	BerrySpaghetti	|	320	|	An improvised dessert pasta made with strawberries and cream. It works!	|
|	Food	|	492	|	Shiruko Spaghetti	|	ShirukoSpaghetti	|	320	|	A chance creation made with sweet red bean juice. Not for everyone...	|
|	Food	|	493	|	Lemonade	|	Lemonade	|	Mp 36	|	A refreshing, summery drink made from sweetened lemon juice.	|
|	Food	|	494	|	Apple Juice	|	AppleJuice	|	Mp 36	|	Apple juice made the right way: by carefully selecting the best fruit.	|
|	Food	|	495	|	Strawberry Au Lait	|	StrawberryAuLait	|	Mp 45	|	A glass of milk with strawberries in it. They always sink to the bottom...	|
|	Food	|	496	|	Smoothie	|	Smoothie	|	Mp 84	|	Fruit blended into a smooth drink. A recipe for beautiful skin.	|
|	Food	|	497	|	Fruit Juice	|	FruitJuice	|	Mp 84	|	Nutrient-rich juice. Drink in moderation to avoid a bellyache.	|
|	Food	|	498	|	Nectar	|	Nectar	|	Mp 744	|	The libation of the gods. Grants immortality and staves off wrinkles.	|
|	Food	|	499	|	Dark Matter	|	DarkMatter	|	Poison	|	An ominous black mass that is probably edible...but you first.	|
|	FoodStuff	|	376	|	Rice	|	Paddy	|	Shop	|	A grain that features prominently in Eastern diets.	|
|	FoodStuff	|	377	|	Corn	|	Corn	|	Shop	|	A vegetable covered in small yellow kernels. Feeds people and livestock.	|
|	FoodStuff	|	378	|	Potato	|	Potato	|	Shop	|	A hardy tuber that thrives in poor soil. Beware the poisonous sprouts.	|
|	FoodStuff	|	379	|	Cinnamon	|	Cinnamon	|	Shop	|	A spice with a unique aroma made from a type of tree bark.	|
|	FoodStuff	|	380	|	Flour	|	Flour	|	Shop	|	A grain found in nearly every household and used in many dishes.	|
|	FoodStuff	|	381	|	Egg	|	Egg	|	Shop	|	A freshly laid chicken egg. You can pick up the yolk with your fingers.	|
|	FoodStuff	|	382	|	Dragon Egg	|	DragonsEgg	|	DragonsEgg 	|	An egg laid by a dragon. Fetches good coin among gourmands.	|
|	FoodStuff	|	383	|	Sugar	|	Sugar	|	Shop	|	A sweetener and essential ingredient when making desserts.	|
|	FoodStuff	|	384	|	Soy Sauce	|	SoySauce	|	Chest	|	A liquid condiment made from soybeans that is essential to Eastern cuisine.	|
|	FoodStuff	|	385	|	Miso	|	Miso	|	Chest	|	A paste of fermented soybeans that's hard on the eyes but full of flavor.	|
|	FoodStuff	|	386	|	Black Pepper	|	Pepper	|	Chest	|	A spice used to punch up cooking. Often appears next to salt.	|
|	FoodStuff	|	387	|	Ginger	|	Ginger	|	Chest	|	A spice that imparts a refreshing bite and warms the body.	|
|	FoodStuff	|	388	|	Garlic	|	Garlic	|	Chest	|	A spice with a distinct smell that vampires utterly detest.	|
|	FoodStuff	|	389	|	Moco Oil	|	MocoOil	|	Moco Weed 	|	Oil harvested from moco weeds. Works wonders on the skin.	|
|	FoodStuff	|	390	|	Rennet	|	Rennet	|	Zagan, Haagenti	|	A complex of enzymes used to produce cheese.	|
|	FoodStuff	|	391	|	Milk	|	Milk	|	Shop	|	Fresh milk packed with nutrients to help you grow strong.	|
|	FoodStuff	|	392	|	Beast Milk	|	MilkofZagan	|	Zagan 	|	Milk taken from a zagan. Truly the pinnacle of dairy delights.	|
|	FoodStuff	|	393	|	Tomato	|	Tomato	|	Aello 	|	A ruby-red vegetable that appears in everything from salads to stews.	|
|	FoodStuff	|	394	|	Moco Leek	|	MocoOnion	|	Moco Weed 	|	An onion harvested from moco weeds. Cooking it brings out its sweetness.	|
|	FoodStuff	|	395	|	Fey Leaf	|	DaturaLeaf	|	Moco Weed 	|	The poisonous leaf of a Datura. It can be made edible if properly heated.	|
|	FoodStuff	|	396	|	Fell Leaf	|	CerberaLeaf	|	Giant Moco 	|	The nutrient-rich leaf of a Cerbera. It is valued for its medicinal properties.	|
|	FoodStuff	|	397	|	Clam	|	Clam	|	Scylla 	|	A shellfish that needs to be purged of sand before eating.	|
|	FoodStuff	|	398	|	Sea Urchin	|	Uni	|	Dullahammer 	|	A sea delicacy best enjoyed raw— the fresher the better.	|
|	FoodStuff	|	399	|	Red Bean	|	RedBean	|	Gusion 	|	A type of bean grown in the Orient and used to make desserts.	|
|	FoodStuff	|	400	|	Cacao Bean	|	CacaoBean	|	Shop	|	A fragrant bean that tastes bitter when you bite into it.	|
|	FoodStuff	|	401	|	Forneus Filet	|	ForneusFilet	|	Forneus 	|	Meat from Forneus. It's classified under white fish.	|
|	FoodStuff	|	402	|	Aquatic Filet	|	DeeseamaFilet	|	Deeseama 	|	Deeseama meat. It's extremely tough and rubbery.	|
|	FoodStuff	|	403	|	G-Bone Steak	|	G-LabolasFilet	|	Celaeno, Ocypete	|	Meat from a glasya-labolas. The light flavor compliments any cuisine.	|
|	FoodStuff	|	404	|	Plume Pork	|	YorktonMeat	|	Plume Parma 	|	Pork from a plume parma. Try the sirloin; it's delicious.	|
|	FoodStuff	|	405	|	Beast Beef	|	ZaganMeat	|	Zagan 	|	The meat of a zagan. It melts in your mouth with each bite.	|
|	FoodStuff	|	406	|	Flying Beef	|	HaagentiFilet	|	Haagenti 	|	Scrumptious haagenti meat that will have you mooing for more.	|
|	FoodStuff	|	407	|	Strawberry	|	Strawberry	|	Celaeno, Tamako-Death	|	A sweet and sour fruit that makes delicious preserves.	|
|	FoodStuff	|	408	|	Apple	|	Apple	|	Ocypete 	|	A juicy, red fruit that can be eaten without removing the skin.	|
|	FoodStuff	|	409	|	Lemon	|	Lemon	|	Aello, Rul'sha	|	A yellow and very sour fruit that can be used to mask the smell of fish.	|
|	FoodStuff	|	410	|	Ambrosia	|	Ambrosia	|	Vul'sha 	|	A legendary fruit said to grant immortality.	|
|	FoodStuff	|	411	|	Baking Soda	|	BakingSoda	|	Shop	|	Powder used to make dough rise or remove stains from teacups.	|
|	FoodStuff	|	412	|	Butter	|	Butter	|	Shop	|	A dairy product used in everything from sweets to sautés.	|
|	FoodStuff	|	413	|	Cheese	|	Cheese	|	Giant Rat	|	A dairy product made by fermenting milk.	|
|	FoodStuff	|	414	|	Soda Water	|	Soda	|	Shop	|	Carbonated water. Mix it with fruit juice for a delicious beverage.	|
|	FoodStuff	|	415	|	Consommé	|	Consommé	|	Craft	|	A clear, amber broth. Delicious served both hot and cold.	|
|	FoodStuff	|	416	|	Curry Powder	|	CurryPowder	|	Ordog 	|	A powdered mixture of fragrant spices that whets the appetite.	|
|	FoodStuff	|	417	|	Salt Broth	|	SaltBroth	|	Craft	|	A simple broth that has been flavored with salt.	|
|	FoodStuff	|	418	|	Soy Broth	|	SoyBroth	|	Craft	|	A Nipponese broth flavored with soy sauce.	|
|	FoodStuff	|	419	|	Tonkotsu Broth	|	TonkotsuBroth	|	Craft	|	A cloudy broth made by slowly boiling pork bones.	|
|	FoodStuff	|	420	|	Miso Broth	|	MisoBroth	|	Craft	|	A hearty broth made with dissolved miso.	|
|	FoodStuff	|	421	|	Heavy Cream	|	HeavyCream	|	Craft	|	A thick, white liquid made from butterfat.	|
|	FoodStuff	|	422	|	Red Bean Paste	|	RedBeanPaste	|	Craft	|	Boiled, sweetened red beans that may be mashed and skinned or left whole.	|
|	FoodStuff	|	423	|	Cocoa	|	Cocoa	|	Buer 	|	A sweet beverage made from cacao beans.	|
|	FoodStuff	|	424	|	Chinese Noodles	|	ChineseNoodles	|	Craft	|	Thin, frizzly noodles from China that are often consumed with broth.	|
|	FoodStuff	|	425	|	Pasta	|	Pasta	|	Craft	|	Noodles made from durum wheat flour. They become chewy once boiled.	|
|	FoodStuff	|	426	|	Bread	|	Bread	|	Shop	|	A flour-based dough that has been leavened and then baked.	|
|	FoodStuff	|	427	|	Pie Dough	|	PieDough	|	Craft	|	A dough made from flour and plenty of butter. Makes a nice, flaky crust.	|
|	FoodStuff	|	428	|	Pizza Dough	|	PizzaDough	|	Craft	|	A flour-based dough that is kneaded and stretched into a thin circle.	|
|	FoodStuff	|	429	|	Crepe Dough	|	CrepeDough	|	Craft	|	A dough made by soaking flour in water. It is rolled paper thin.	|
|	FoodStuff	|	430	|	Curry Sauce	|	CurrySauce	|	Craft	|	A hot sauce made from a mixture of fragrant spices.	|
|	FoodStuff	|	431	|	White Sauce	|	WhiteSauce	|	Craft	|	A white sauce made from a roux of fat and flour.	|
|	FoodStuff	|	432	|	Vongole Sauce	|	VongoleSauce	|	Craft	|	A clam-based sauce that tastes delicious when tossed with pasta.	|
|	Ingrediment	|	16	|	Alkahest	|	Alkhahest	|	Ghost, Poltergeist, Amy	|	A single-use solvent that is used to break down transmuted materials.	|
|	Ingrediment	|	17	|	Sulfur	|	Sulfur	|	Shop	|	An ore used in alchemy.	|
|	Ingrediment	|	18	|	Saltpeter	|	Saltpeter	|	Shop	|	A niter ore.	|
|	Ingrediment	|	19	|	Mercury	|	Mercury	|	Shop	|	A common alchemic material.	|
|	Ingrediment	|	20	|	Sulfate	|	Sulfate	|	Shop	|	A liquid acid.	|
|	Ingrediment	|	21	|	Gunpowder	|	Gunpowder	|	Bomber Morte, Leraje, Giant Cannon	|	A powder that burns quickly and explodes, making it useful, but dangerous to handle.	|
|	Ingrediment	|	22	|	Ectoplasm	|	Ectoplasm	|	Ghost, Amy	|	A flossy, astral matter.	|
|	Ingrediment	|	23	|	Bronze	|	Bronze	|	Dullahammer 	|	A metal that changes color from added tin.	|
|	Ingrediment	|	24	|	Iron	|	Iron	|	Dullahammer, Blood Grinder Knight, Carriage Morte 	|	A common form of metal.	|
|	Ingrediment	|	25	|	Obsidian	|	Obsidian	|	Sabnock, Gargoyle, Light Elemental	|	A black gemstone formed by volcanic lava.	|
|	Ingrediment	|	26	|	Steel	|	Steel	|	Blood Grinder Knight, Sabnock, Buer Armor, Shovel Armor	|	A sturdy alloy made from iron ore that is easy to work with and suited for fine detailing.	|
|	Ingrediment	|	27	|	Silver	|	Silver	|	Shield Outsider, Bloodbringer, Lance Armor	|	A precious metal.	|
|	Ingrediment	|	28	|	Damascus	|	DamascusSteel	|	Mimic, Puppy, Lance Armor, Axe Outsider	|	A sturdy metal with attractive banding.	|
|	Ingrediment	|	29	|	Mithril	|	Mithril	|	Axe Outsider 	|	An argent mineral that is both durable and light. However, only the finest of smiths can work it.	|
|	Ingrediment	|	30	|	Platinum	|	Platinum	|	Axe Outsider, Zepar, Kunekune 	|	A bright metal resistant to oxidation and corrosion. It is difficult to mine and quite precious.	|
|	Ingrediment	|	31	|	Crystal	|	Clystal	|	Living Fossil 	|	A precious mineral with purifying properties that has been revered as holy since ancient times.	|
|	Ingrediment	|	32	|	Gold	|	Gold	|	Craft, Alkehest	|	Not just any gold. This was created by Alchemists.	|
|	Ingrediment	|	33	|	Crimsonite	|	Hihiirokane	|	Ninja 	|	A legendary metal as bright as the sun.	|
|	Ingrediment	|	34	|	Orichalcum	|	Orichalcum	|	G Axe Outsider 	|	A legendary metal excavated from a lost country.	|
|	Ingrediment	|	35	|	Cotton	|	Hemp	|	Moco Weed 	|	Cloth made from a plant. It is durable, absorbent, and soft on the skin.	|
|	Ingrediment	|	36	|	Hemp	|	Cotton	|	Barbatos 	|	Cloth made from plant fibers. It is comfortable to wear and breathes well, but falls apart easily.	|
|	Ingrediment	|	37	|	Wool	|	Felt	|	Wolfman, Gamigin, Allocer	|	Versatile cloth made from sheep's wool that is cool in the summer and warm in winter.	|
|	Ingrediment	|	38	|	Silk	|	Silk	|	Allocer, Rocky, Kamikaze	|	Precious, lustrous cloth made from the cocoon of the silkworm. Prized since ancient times.	|
|	Ingrediment	|	39	|	Cashmere	|	Leather	|	Giant Buer 	|	A fine, downy wool taken from a goat. It is lightweight and quite lovely to look at.	|
|	Ingrediment	|	40	|	Halite	|	Halite	|	Seama 	|	Salt extracted from rocks.	|
|	Ingrediment	|	41	|	Elm	|	ElmLumber	|	Cannon Morte 	|	A cheap lumber.	|
|	Ingrediment	|	42	|	Oak	|	OakLumber	|	Poltergeist, Carriage Morte	|	A fairly sturdy lumber.	|
|	Ingrediment	|	43	|	Walnut	|	WalnutLumber	|	Chair Mimic 	|	An extremely sturdy lumber.	|
|	Ingrediment	|	44	|	Mahogany	|	MahoganyLumber	|	Deathtrap 	|	A rare and beautiful lumber.	|
|	Ingrediment	|	45	|	Cypress	|	CypressLumber	|	Deathtrap, Giant Cannon, Gusion Cannon	|	A fine lumber favored in the East.	|
|	Ingrediment	|	46	|	Ruby	|	Ruby	|	Buer Armor, Rul'sha, Fire Elemental	|	A scarlet gemstone.	|
|	Ingrediment	|	47	|	Sapphire	|	Sapphire	|	Shovel Armor, Ice Elemental	|	A deep blue gemstone.	|
|	Ingrediment	|	48	|	Emerald	|	Emerald	|	Thunder Elemental 	|	A bright green gemstone.	|
|	Ingrediment	|	49	|	Diamond	|	Diamond	|	Light Elemental, Dark Elemental, Ice Elemental	|	A gemstone with a beautiful sparkle.	|
|	Ingrediment	|	50	|	Bixbite	|	Bixbite	|	Fire Elemental 	|	An extremely rare red gemstone.	|
|	Ingrediment	|	51	|	Alexandrite	|	Alexandrite	|	Ice Elemental 	|	A type of chrysoberyl with color-changing properties.	|
|	Ingrediment	|	52	|	8-bit Coin	|	8BitCoin	|	Shop	|	A valuable coin that can be found in circulation.	|
|	Ingrediment	|	53	|	16-bit Coin	|	16BitCoin	|	Shop	|	A rare and valuable coin that can be found in circulation.	|
|	Ingrediment	|	54	|	32-bit Coin	|	32BitCoin	|	Shop	|	An extremely rare and valuable coin that can be found in circulation.	|
|	Ingrediment	|	55	|	8-bit Nightmare	|	Medal022	|	Eight Bit Overlord	|	A book inside which an ancient demon overlord has been imprisoned.	|
|	Ingrediment	|	611	|	Writhing Limb	|	Recklesslimb	|	Seama 	|	A branch (?) that continues its disgusting flailing.	|
|	Ingrediment	|	612	|	Sharp Razor	|	SharpRazor	|	Killer Barber 	|	A razor that has cut through more than hair.	|
|	Ingrediment	|	613	|	Tome Scrap	|	DevilBookPaperStrip	|	Dantalion 	|	A torn page that crackles with magic.	|
|	Ingrediment	|	614	|	Sword Fragment	|	deathBringerDebris	|	Bloodbringer 	|	One piece of a shattered demon blade.	|
|	Ingrediment	|	615	|	Chair Remnants	|	Mimicchairdebris	|	Chair Mimic 	|	A fragment claimed from the wreckage of a chair.	|
|	Ingrediment	|	616	|	Monster Bird Tear	|	MonsterBirdTears	|	Aello, Ocypete	|	A mysterious glowing liquid.	|
|	Ingrediment	|	617	|	Witch's Tears	|	Cyhyraethtear	|	Cyhyraeth 	|	A liquid as red as blood.	|
|	Ingrediment	|	618	|	Queen's Tears	|	Lamastutear	|	Tamako-Death, Lamashtu	|	A liquid imbued with powerful sorcery.	|
|	Ingrediment	|	619	|	Rat Teeth	|	Giantratteeth	|	Giant Rat 	|	The incisors of a giant rat.	|
|	Ingrediment	|	620	|	Bat Fang	|	Batfang	|	Bat	|	A fang from a bat.	|
|	Ingrediment	|	621	|	Demon Dog Fang	|	DemonDogFang	|	Gieremund 	|	A sharp fang from a demon canine.	|
|	Ingrediment	|	622	|	Monster Fang	|	Ivory	|	Buer 	|	A fang from a monster.	|
|	Ingrediment	|	623	|	Sinister Fang	|	Devilsfang	|	Demon, Puppy	|	The fang of an unusually cruel demon.	|
|	Ingrediment	|	624	|	Demon Fang	|	Gusionfang	|	Archdemon, Rocky, Giant Bat	|	A fang from a demon.	|
|	Ingrediment	|	625	|	Fiend Fang	|	Marbasfang	|	Silver Wolfman, Marbas	|	A fang embued with dark energy.	|
|	Ingrediment	|	626	|	Imbrued Fang	|	Gieremundfang	|	Millionaire's Bane 	|	A fang caked with horrific amounts of blood.	|
|	Ingrediment	|	627	|	Lycan Claw	|	Wolfclaw	|	Wolfman 	|	A razor-sharp wolf's claw.	|
|	Ingrediment	|	628	|	Dragon Talons	|	Dragonclaw	|	Dragon 	|	A rare find: the talons of a dragon.	|
|	Ingrediment	|	629	|	Demon Claw	|	Apenail	|	Hellhound 	|	A claw from a demon.	|
|	Ingrediment	|	630	|	Monster Horn	|	Chicomecoatlhorn	|	Zagan 	|	A horn taken from something horrible.	|
|	Ingrediment	|	631	|	Demon Horn	|	Gaaphorn	|	Gaap 	|	A horn taken from something unspeakable.	|
|	Ingrediment	|	632	|	Hellhorse Hoof	|	Gamiginhoof	|	Gamigin 	|	A hoof that has treaded on who knows what carnage.	|
|	Ingrediment	|	633	|	Water Horse Hoof	|	Glashtynhoof	|	Glashtyn 	|	The hoof of a demon that lurks beneath the water.	|
|	Ingrediment	|	634	|	Melting Bone	|	MeltedBone	|	Bone Morte, Shield Outsider	|	A bone that is slightly sticky to touch.	|
|	Ingrediment	|	635	|	Dragon Bone	|	Dragonbone	|	Living Fossil 	|	A precious find, even in this castle.	|
|	Ingrediment	|	636	|	Demon Bone	|	Knightbone	|	Volcano Morte 	|	A bone from a demon.	|
|	Ingrediment	|	637	|	Imbrued Bone	|	Bloodybone	|	Master Carpenter 	|	A bone steeped in blood.	|
|	Ingrediment	|	638	|	Melting Skull	|	MeltingSkull	|	Bone Morte 	|	A skull that looks eerier from melting.	|
|	Ingrediment	|	639	|	Sinister Skull	|	Jeneralskull	|	Shield Outsider 	|	A skull that is, against all odds, quite sinister.	|
|	Ingrediment	|	640	|	Fiend Skull	|	Warriorskull	|	G Axe Outsider 	|	A skull embued with dark energy.	|
|	Ingrediment	|	641	|	Imbrued Skull	|	Bloodyskull	|	Revenant 	|	A frightful skull that is bathed in blood.	|
|	Ingrediment	|	642	|	Grotesque Shell	|	Mimicshell	|	Scythe Mite, Mimic, Blood Bug	|	The hardy shell of a monster.	|
|	Ingrediment	|	643	|	Inhuman Carapace	|	Dethtrapshell	|	Blood Bug 	|	The formidable shell of a demon.	|
